Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
1961	8	260.243417095	257.878	268.334
9807	3	907.374242214	915.873	1263.841
4903	6	612.242584108	603.952	635.531
2942	7	392.674348651	386.436	403.052
1961	9	263.082511916	257.898	266.675
4903	4	584.904437966	582.597	616.784
9807	4	0.101809431255	610.863	782.415
9807	2	0.19899116109	805.739	1372.942
1961	1	272.752094035	265.533	275.979
1961	10	233.527696793	232.042	243.648
4903	9	606.446388079	603.249	641.212
2942	9	366.988291915	365.502	381.099
4903	10	576.74348651	573.697	603.459
2942	4	364.845666158	356.782	386.344
1961	5	254.014530982	251.027	264.346
1961	3	268.177611181	266.899	277.313
4903	2	597.81803878	591.717	620.234
2942	2	393.537414966	392.663	406.682
4903	8	658.160951455	653.515	682.356
9807	6	0.333194502291	678.005	1199.781
1961	7	274.92017215	269.269	278.652
980	9	141.804340784	140.009	144.151
2942	5	382.678513582	381.433	397.808
2942	6	385.057152113	379.585	395.106
980	8	139.379425239	137.377	141.331
4903	3	625.40839465	622.074	650.601
980	4	142.901106021	142.158	147.114
2942	3	378.95784164	375.527	390.805
2942	10	377.333518441	375.185	390.011
4903	1	604.421768707	600.818	628.986
9807	8	1059.38960618	1059.539	1128.409
