Load	Indent Number	My Area	Keyence Area	Keyence Surface Area	My Box Area
4903	6	501.135128608	503.905	537.057	629.318030987
2942	10	302.517811858	303.117	324.892	381.539989509
980	4	105.079398623	104.934	108.826	127.509532648
4903	7	514.347602947	515.641	554.774	617.139229915
2942	1	305.496014974	306.893	325.969	383.577801502
1961	6	221.288189832	219.893	229.732	277.415683634
490	10	50.673227871	50.423	51.845	64.7283936638
980	5	106.333776114	106.296	109.79	134.165673452
9807	4	995.272310107	1024.172	1174.842	1247.87008158
4903	10	0.446805941311	497.334	527.98	0.363487479176
2942	3	308.613090206	309.358	354.545	400.969065402
4903	8	505.586583746	505.841	561.767	626.181576659
1961	4	196.377249125	196.621	206.095	243.531224773
2942	4	312.986052409	313.073	350.922	382.86810314
490	8	52.3095036831	52.28	53.691	65.3189525345
1961	9	213.609467456	213.244	225.785	253.831581943
1961	8	192.282031156	192.29	205.308	220.684018149
4903	1	509.832749668	508.948	551.451	662.432195977
1961	5	202.234029707	202.55	227.912	261.4244626
4903	4	503.536710542	505.008	547.047	636.927711736
2942	7	317.917522038	317.778	335.389	399.348143576
490	5	51.7676005313	53.011	53.482	62.2389603015
490	7	52.9857505132	52.758	54.407	57.9896765758
4903	3	497.420299481	497.604	527.969	649.35947337
2942	5	311.709032726	310.999	333.429	400.04014783
2942	9	315.81934549	315.634	33.816	380.147975901
2942	8	308.264400435	310.66	330.594	373.789740875
4903	9	513.102282333	512.403	548.064	627.491244843
980	8	207.005494505	200.58	202.359	229.036604273
490	4	50.6068107716	50.188	51.645	61.984560191
1961	7	206.66737109	206.282	216.907	249.237884138
980	9	105.311858471	105.22	109.17	131.471774102
980	7	104.689952904	103.883	109.033	129.7541053
490	1	54.4861731675	54.12	55.724	68.5198727801
490	3	50.9751237773	51.1	52.719	64.0684075595
980	3	104.96165922	105.272	109.359	132.750556554
1961	3	212.507547398	211.473	221.647	267.089195404
1961	2	209.962564908	209.885	219.904	263.413707256
9807	5	1028.74049028	1031.056	1101.709	1285.86128909
