Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
1961	10	500.775182062	500.859	526.929
1961	4	503.907775879	502.195	528.937
980	3	350.652755243	353.167	366.271
1961	6	496.719698335	500.607	529.709
1961	1	496.130371094	493.402	522.638
980	9	316.38122709	318.603	332.306
1961	2	500.266660657	504.565	538.685
980	5	305.599873806	307.622	324.246
1961	7	499.056547083	502.178	528.958
1961	8	531.410371973	534.338	558.617
980	2	339.274983475	341.475	353.741
1961	3	532.29598999	528.053	550.496
980	7	309.427017607	311.719	325.371
1961	9	615.50838291	619.559	645.284
